Student_ID,Actual_Final_Score,Linear_Regression_Prediction,Decision_Tree_Prediction,Random_Forest_Prediction
STU0522,57.93,53.29,50.35,51.69
STU0738,54.41,53.08,56.93,55.72
STU0741,60.23,56.16,57.23,55.03
STU0661,60.34,55.73,55.13,53.34
STU0412,61.74,58.41,56.6,57.73
STU0679,67.64,61.58,66.26,62.63
STU0627,54.08,57.7,57.86,59.77
STU0514,58.78,61.27,62.58,61.48
STU0860,48.85,53.84,56.96,55.26
STU0137,49.58,49.98,50.35,49.99
STU0812,47.74,49.92,55.13,50.36
STU0077,62.75,59.1,65.49,60.09
STU0637,62.18,61.91,61.66,62.19
STU0974,58.65,54.5,55.13,55.08
STU0939,51.32,46.03,45.66,45.19
STU0900,53.97,57.85,57.86,59.65
STU0281,53.53,48.41,47.28,49.65
STU0884,65.11,67.11,71.69,69.6
STU0762,57.9,60.61,62.48,60.11
STU0320,60.61,65.55,64.95,65.39
STU0550,64.28,63.09,60.54,61.86
STU0175,50.49,54.23,56.5,54.27
STU0372,65.49,65.19,60.54,63.53
STU0528,48.95,50.31,50.2,48.38
STU0211,48.54,51.17,49.79,51.29
STU0236,61.84,61.68,61.9,62.34
STU0102,54.11,53.56,49.79,52.34
STU0987,52.04,51.28,55.13,53.26
STU0903,69.21,65.2,66.61,66.48
STU0948,64.37,57.17,56.96,56.72
STU0347,60.76,60.6,60.54,61.58
STU0140,44.81,41.53,43.15,45.35
STU0622,48.6,50.69,56.5,54.6
STU0500,44.06,48.07,50.2,46.99
STU0371,67.52,66.05,61.9,63.19
STU0199,54.91,56.48,57.86,55.92
STU0688,52.07,52.51,46.2,56.36
STU0585,67.64,70.19,73.73,69.28
STU0902,49.53,46.05,49.79,49.0
STU0060,52.85,55.07,61.86,56.27
STU0329,56.04,58.83,61.66,61.09
STU0097,65.96,61.43,61.66,60.98
STU0313,67.03,71.75,69.76,71.54
STU0975,56.36,56.57,51.06,55.48
STU0300,44.26,45.4,45.66,46.48
STU0278,53.44,55.18,56.5,54.69
STU0925,59.4,58.53,56.93,58.26
STU0602,68.63,61.48,57.86,59.36
STU0440,65.87,64.58,66.26,66.42
STU0838,49.86,52.03,53.93,52.52
STU0571,51.4,48.93,45.26,48.4
STU0880,59.08,59.33,56.18,60.13
STU0262,44.52,48.68,52.19,50.66
STU0579,55.5,59.51,65.49,59.63
STU0024,72.81,64.33,61.66,62.13
STU0031,61.53,59.68,57.23,58.54
STU0618,73.12,67.89,66.26,69.56
STU0011,65.93,61.47,60.54,59.81
STU0222,61.5,58.61,55.13,57.69
STU0821,48.92,51.86,51.86,51.12
STU0297,64.79,62.68,56.93,60.73
STU0055,58.24,57.29,57.23,57.21
STU0543,69.45,70.6,65.11,66.01
STU0210,66.11,62.29,62.58,62.13
STU0605,49.43,52.72,56.96,54.02
STU0693,64.04,63.5,56.93,63.9
STU0663,59.1,67.3,66.61,66.7
STU0867,67.74,71.06,71.69,71.46
STU0071,56.59,52.88,49.79,51.48
STU0544,55.14,60.52,59.93,59.08
STU0108,44.45,44.81,47.28,48.29
STU0494,68.0,64.04,65.11,65.79
STU0591,54.8,59.35,57.56,58.81
STU0742,57.23,56.95,60.21,57.37
STU0293,54.0,56.42,56.6,57.03
STU0290,59.88,58.61,56.5,56.77
STU0653,50.31,50.94,50.81,50.48
STU0040,64.19,60.15,61.66,61.33
STU0590,57.34,54.79,57.23,56.29
STU0308,60.37,55.71,56.93,58.12
STU0680,60.95,57.25,57.23,55.82
STU0067,57.19,48.71,45.26,48.87
STU0276,67.32,63.69,60.54,64.2
STU0068,48.66,51.98,50.1,52.62
STU0319,52.8,59.34,60.54,59.56
STU0549,68.37,71.53,73.73,71.07
STU0999,44.47,51.33,50.35,50.24
STU0715,50.84,57.68,55.13,57.38
STU0754,48.62,50.06,50.35,50.07
STU0328,55.52,62.88,66.61,62.3
STU0383,64.42,59.53,61.66,61.38
STU0452,52.51,56.1,56.96,56.44
STU0523,61.96,62.06,61.9,61.73
STU0219,60.95,64.36,66.26,64.81
STU0788,62.8,62.39,60.92,58.92
STU0437,58.67,54.06,56.93,57.3
STU0765,60.39,63.6,69.08,61.63
STU0089,64.35,67.0,66.26,67.93
STU0064,52.06,50.55,56.5,53.59
STU0827,67.43,62.68,60.92,60.91
STU0717,57.98,55.99,57.23,55.89
STU0352,51.66,50.82,56.93,53.05
STU0937,59.48,57.39,56.5,56.49
STU0257,52.71,54.96,60.92,55.83
STU0636,66.72,63.68,57.86,62.55
STU0645,54.22,54.04,51.86,52.98
STU0555,43.52,48.81,51.06,51.49
STU0960,64.71,61.91,65.49,62.01
STU0169,64.44,65.41,60.54,62.89
STU0918,60.83,55.11,47.34,54.93
STU0529,58.48,57.36,56.5,55.98
STU0824,60.71,60.15,61.66,59.68
STU0986,54.64,52.89,46.2,51.59
STU0817,62.41,61.48,60.92,60.73
STU0087,67.14,63.01,66.26,64.88
STU0433,57.82,57.09,56.96,57.38
STU0185,71.09,69.02,69.76,70.01
STU0979,60.97,57.02,56.5,56.07
STU0535,59.63,59.06,60.54,58.5
STU0295,52.58,52.78,56.5,53.58
STU0893,65.64,64.8,65.11,64.04
STU0426,66.78,63.39,64.95,62.19
STU0714,57.02,54.87,61.86,56.71
STU0261,51.3,51.12,47.28,51.0
STU0238,49.19,50.11,49.79,50.8
STU0560,57.48,51.43,50.2,50.87
STU0584,56.12,55.86,53.19,56.42
STU0446,64.45,55.41,53.19,54.21
STU0868,57.35,58.1,61.01,58.74
STU0801,61.67,64.07,64.95,62.06
STU0600,54.96,55.25,54.27,54.51
STU0850,60.47,60.46,62.24,57.62
STU0266,61.36,58.21,53.19,53.65
STU0996,51.07,46.73,49.79,49.65
STU0530,62.05,57.62,62.58,59.33
STU0056,64.51,61.55,60.75,61.74
STU0121,61.58,60.5,60.54,60.94
STU0216,52.71,60.37,60.75,61.78
STU0026,57.15,58.65,56.96,58.68
STU0073,49.82,49.0,50.2,50.9
