Student_ID,Gender,Age,Study_Hours,Attendance,Previous_Score,Assignment_Score,Midterm_Score,Internet_Access,Extracurricular_Activities,Final_Score
STU0001,Male,22,2.4,61.4,91.5,72.4,50.1,Yes,Yes,61.03
STU0002,Female,17,8.9,70.7,43.5,91.1,81.6,Yes,No,62.28
STU0003,Male,17,8.8,75.3,85.4,97.5,66.1,Yes,Yes,75.05
STU0004,Male,17,1.3,88.7,56.1,73.9,52.4,Yes,No,54.09
STU0005,Male,21,8.4,84.3,64.4,70.9,73.9,Yes,No,61.96
STU0006,Female,20,,82.9,41.2,45.1,42.2,Yes,Yes,42.68
STU0007,Male,21,4.0,70.9,56.6,72.9,57.9,Yes,Yes,52.99
STU0008,Male,20,7.7,92.9,67.6,62.8,65.8,Yes,No,66.67
STU0009,Male,21,2.4,76.2,43.1,76.4,48.1,Yes,No,44.34
STU0010,Female,21,8.4,99.1,67.0,63.3,94.2,Yes,No,65.39
STU0011,Male,22,8.5,83.5,91.0,54.4,51.5,,No,65.93
STU0012,Male,19,5.6,60.7,45.8,45.7,47.2,No,No,45.68
STU0013,Male,21,1.1,85.4,82.0,58.9,51.2,Yes,No,57.29
STU0014,Male,22,3.6,69.6,62.5,45.8,82.3,Yes,Yes,57.91
STU0015,Female,18,6.6,85.9,76.0,50.6,63.4,Yes,Yes,60.55
STU0016,Male,19,9.8,58.1,54.3,99.2,71.1,Yes,Yes,62.47
STU0017,Female,21,6.7,62.9,48.8,66.6,41.2,Yes,Yes,45.73
STU0018,Female,17,3.3,93.5,48.8,71.9,41.9,Yes,No,56.12
STU0019,Female,18,6.7,65.2,43.9,92.4,64.5,Yes,Yes,62.53
STU0020,Male,18,5.9,92.7,50.2,99.7,84.9,Yes,Yes,68.03
STU0021,Female,22,8.0,67.6,76.5,75.0,88.7,Yes,No,64.6
STU0022,Male,18,2.0,83.9,88.5,88.7,44.8,Yes,Yes,65.74
STU0023,Female,19,7.8,86.2,84.8,59.6,69.6,Yes,No,63.15
